AX_W1,AX_W2,AX_W3,AX_W4
4.735,4.678,2.803,3.215
4.854,4.828,3.937,3.777
4.192,2.697,1.974,2.017
4.724,3.682,2.416,2.353
6.004,6.69,3.193,3.364
3.893,3.175,2.584,3.346
5.434,4.458,3.039,3.057
4.252,3.527,2.775,2.745
5.079,4.088,3.802,3.732
4.34,4.167,3.456,2.486
6.41,5.259,3.377,3.444
5.014,3.046,3.016,3.064
5.701,6.187,3.093,3.425
4.544,3.798,3.097,2.849
4.581,7.146,2.925,3.067
6.074,5.194,2.822,2.83
4.86,3.633,2.438,2.256
5.574,6.06,7.304,7.17
4.634,2.814,2.221,2.169
4.51,3.323,1.885,2.432
5.24,4.785,2.56,2.387
5.245,4.837,2.915,2.975
3.992,3.782,3.009,2.617
4.463,4.056,2.518,2.826
4.458,3.117,2.014,1.459
4.232,2.885,2.672,2.559
4.878,3.326,1.817,1.96
4.129,3.778,4.534,3.67
5.058,3.759,2.962,2.956
5.831,5.572,2.819,2.93
5.698,10.17,3.233,2.917
4.642,3.372,2.507,2.37
5.135,5.028,3.668,3.582
5.253,4.024,2.437,2.591
4.498,3.843,1.675,1.789
4.278,5.792,2.687,2.737
4.333,3.556,2.445,2.341
4.956,5.089,3.768,3.874
5.7,3.44,2.286,2.213
5.65,8.038,5.414,5.605
4.332,4.773,5.932,5.705
3.766,3.872,2.036,2.192
4.706,6.283,6.243,5.744
4.139,6.174,6.128,5.721
3.976,3.412,2.19,2.332
5.351,7.599,7.582,7.402
4.966,6.62,3.667,3.757
4.402,5.69,3.615,3.233
3.923,3.117,2.556,1.92
4.425,3.78,3.535,3.422
4.092,2.763,2.856,2.721
4.774,3.642,1.79,1.722
4.87,3.085,2.154,1.865
5.362,5.281,3.237,3.262
5.581,11.355,5.438,5.261
5.015,4.105,2.565,2.732
5.143,6.633,5.048,5.057
4.488,2.986,1.817,1.837
4.748,3.553,1.933,2.497
4.443,2.823,2.068,2.299
4.75,5.382,4.069,3.963
4.935,4.366,3.318,2.626
5.446,7.469,5.397,4.641
4.667,2.731,1.35,1.274
5.314,3.865,2.352,2.449
4.068,2.791,2.396,2.251
4.563,3.475,2.755,2.255
5.211,4.075,1.815,1.778
4.163,3.723,3.061,2.783
6.053,7.984,4.469,4.4
4.07,3.572,2.46,3.049
4.795,4.981,3.685,3.315
4.589,4.918,6.349,6.217
4.74,6.332,3.699,3.746
5.855,5.041,2.899,3.165
5.247,7.095,2.853,2.765
3.863,2.692,1.379,1.527
3.97,4.422,1.591,1.578
3.476,4.065,1.586,1.645
4.634,5.821,5.517,5.398
4.753,3.848,2.929,2.809
4.232,3.617,3.237,3.199
5.394,8.135,8.157,7.796
4.041,2.696,2.079,2.01
5.499,7.922,5.626,5.202
5.432,6.172,4.529,4.723
4.946,5.004,3.641,3.246
3.992,3.335,2.084,1.963
5.632,8.401,7.013,6.593
5.307,4.207,2.879,2.871
4.892,3.87,2.001,2.119
5.745,7.837,8.358,8.073
4.723,5.188,3.338,3.603
4.623,3.746,2.436,3.073
4.907,11.512,7.273,7.379
4.814,4.393,2.697,2.673
5.466,4.705,2.992,3.059
5.534,6.422,4.443,4.308
5.228,4.156,2.684,2.794
5.85,7.253,3.981,3.978
4.76,5.183,5.121,4.985
6.202,8.437,7.455,8.102
